       AGIP.8: offset = 003640, length = 012368, extra = 0000
     ARISCO.8: offset = 006690, length = 012370, extra = 0000
    ASPHALT.8: offset = 0096e2, length = 016467, extra = 0000
    SHADE.TAB: offset = 00d735, length = 016455, extra = 0000
   CAR_ARRO.8: offset = 01177c, length = 262228, extra = 0000
    MODUL.TAB: offset = 0517d0, length = 016455, extra = 0000
   CAR_BENE.8: offset = 055817, length = 262228, extra = 0000
   CAR_JORD.8: offset = 09586b, length = 262228, extra = 0000
    HHAUS2A.8: offset = 0d58bf, length = 016467, extra = 0000
    HHAUS2B.8: offset = 0d9912, length = 016467, extra = 0000
    HHAUS3A.8: offset = 0dd965, length = 016467, extra = 0000
    HHAUS3B.8: offset = 0e19b8, length = 016467, extra = 0000
   BOXGLAS2.8: offset = 0e5a0b, length = 016468, extra = 0000
   ZUSCHAU2.8: offset = 0e9a5f, length = 065620, extra = 0000
   CAR_WILL.8: offset = 0f9ab3, length = 262228, extra = 0000
     WASSER.8: offset = 139b07, length = 016466, extra = 0000
   CAR_FERR.8: offset = 13db59, length = 262228, extra = 0000
   CAR_MCLA.8: offset = 17dbad, length = 262228, extra = 0000
   CAR_LIGI.8: offset = 1bdc01, length = 262228, extra = 0000
       ZELT.8: offset = 1fdc55, length = 004176, extra = 0000
   CAR_SAUB.8: offset = 1feca5, length = 262228, extra = 0000
     BETON2.8: offset = 23ecf9, length = 016466, extra = 0000
   CAR_TYRR.8: offset = 242d4b, length = 262228, extra = 0000
       MARL.8: offset = 282d9f, length = 040197, extra = 0000
   CAR_MINA.8: offset = 28caa4, length = 262228, extra = 0000
   CAR_STEW.8: offset = 2ccaf8, length = 262228, extra = 0000
       BENZ.8: offset = 30cb4c, length = 012368, extra = 0000
   CAR_LOLA.8: offset = 30fb9c, length = 262228, extra = 0000
     RASEN3.8: offset = 34fbf0, length = 016466, extra = 0000
     LEITP1.8: offset = 353c42, length = 005202, extra = 0000
     LEITP2.8: offset = 355094, length = 005202, extra = 0000
      SAND3.8: offset = 3564e6, length = 016465, extra = 0000
       TC01.8: offset = 35a537, length = 262224, extra = 0000
      WALD2.8: offset = 39a587, length = 020561, extra = 0000
       TC02.8: offset = 39f5d8, length = 262224, extra = 0000
       TC03.8: offset = 3df628, length = 262224, extra = 0000
       TC04.8: offset = 41f678, length = 262224, extra = 0000
   ZUSCHAUE.8: offset = 45f6c8, length = 065620, extra = 0000
       TC05.8: offset = 46f71c, length = 262224, extra = 0000
     RASEN2.8: offset = 4af76c, length = 004178, extra = 0000
       TC06.8: offset = 4b07be, length = 262224, extra = 0000
       TC07.8: offset = 4f080e, length = 262224, extra = 0000
       TC08.8: offset = 53085e, length = 262224, extra = 0000
       TC09.8: offset = 5708ae, length = 262224, extra = 0000
       TC10.8: offset = 5b08fe, length = 262224, extra = 0000
       TC11.8: offset = 5f094e, length = 262224, extra = 0000
      HAUS7.8: offset = 63099e, length = 065617, extra = 0000
      HAUS9.8: offset = 6409ef, length = 016465, extra = 0000
      TANNE.8: offset = 644a40, length = 050257, extra = 0000
       TC12.8: offset = 650e91, length = 262224, extra = 0000
       TC13.8: offset = 690ee1, length = 262224, extra = 0000
       TC14.8: offset = 6d0f31, length = 262224, extra = 0000
       TC15.8: offset = 710f81, length = 262224, extra = 0000
       TC16.8: offset = 750fd1, length = 262224, extra = 0000
    PIONEER.8: offset = 791021, length = 012371, extra = 0000
    REDWOOD.8: offset = 794074, length = 025555, extra = 0000
    RENAULT.8: offset = 79a447, length = 012371, extra = 0000
      SHELL.8: offset = 79d49a, length = 012369, extra = 0000
       SKOL.8: offset = 7a04eb, length = 012368, extra = 0000
      MOBIL.8: offset = 7a353b, length = 012369, extra = 0000
     MOLSON.8: offset = 7a658c, length = 012370, extra = 0000
      PALME.8: offset = 7a95de, length = 026481, extra = 0000
     PAPPEL.8: offset = 7afd4f, length = 023890, extra = 0000
    KENWOOD.8: offset = 7b5aa1, length = 012371, extra = 0000
   MARLBORO.8: offset = 7b8af4, length = 040201, extra = 0000
       FORD.8: offset = 7c27fd, length = 012368, extra = 0000
    FOSTERS.8: offset = 7c584d, length = 012371, extra = 0000
       FUJI.8: offset = 7c88a0, length = 012368, extra = 0000
   GOODYEAR.8: offset = 7cb8f0, length = 012372, extra = 0000
      BUSCH.8: offset = 7ce944, length = 033169, extra = 0000
    CAMPARI.8: offset = 7d6ad5, length = 012371, extra = 0000
      CANON.8: offset = 7d9b28, length = 012369, extra = 0000
     CASINO.8: offset = 7dcb79, length = 065618, extra = 0000
        ELF.8: offset = 7ecbcb, length = 012367, extra = 0000
        D03.8: offset = 7efc1a, length = 001054, extra = 0000
        D04.8: offset = 7f0038, length = 001229, extra = 0000
        D07.8: offset = 7f0505, length = 004981, extra = 0000
     HTEX08.8: offset = 7f187a, length = 065618, extra = 0000
     HTEX12.8: offset = 8018cc, length = 016562, extra = 0000
     HTEX04.8: offset = 80597e, length = 003890, extra = 0000
      HAUS5.8: offset = 8068b0, length = 004177, extra = 0000
    BOXGLAS.8: offset = 807901, length = 016467, extra = 0000
     BOXTOR.8: offset = 80b954, length = 016466, extra = 0000
    HHAUS1B.8: offset = 80f9a6, length = 016467, extra = 0000
      SAND5.8: offset = 8139f9, length = 016465, extra = 0000
      DACH1.8: offset = 817a4a, length = 016465, extra = 0000
    CASINO2.8: offset = 81ba9b, length = 012371, extra = 0000
   COCACOLA.8: offset = 81eaee, length = 012372, extra = 0000
        D01.8: offset = 821b42, length = 001249, extra = 0000
     RASEN7.8: offset = 822023, length = 016466, extra = 0000
   STRASSE1.8: offset = 826075, length = 065620, extra = 0000
   STRASSE2.8: offset = 8360c9, length = 065620, extra = 0000
   STRASSE3.8: offset = 84611d, length = 065620, extra = 0000
   STRASSE4.8: offset = 856171, length = 065620, extra = 0000
    HHAUS4B.8: offset = 8661c5, length = 004179, extra = 0000
    HHAUS5B.8: offset = 867218, length = 004179, extra = 0000
    HHAUS6B.8: offset = 86826b, length = 004179, extra = 0000
    YACHT01.8: offset = 8692be, length = 010083, extra = 0000
    YACHT02.8: offset = 86ba21, length = 010083, extra = 0000
    HHAUS4A.8: offset = 86e184, length = 016467, extra = 0000
    HHAUS5A.8: offset = 8721d7, length = 016467, extra = 0000
    HHAUS6A.8: offset = 87622a, length = 016467, extra = 0000
    HHAUS7A.8: offset = 87a27d, length = 016467, extra = 0000
      BETON.8: offset = 87e2d0, length = 004177, extra = 0000
        G01.8: offset = 87f321, length = 084079, extra = 0000
        G03.8: offset = 893b90, length = 064941, extra = 0000
        G06.8: offset = 8a393d, length = 009731, extra = 0000
     RASEN5.8: offset = 8a5f40, length = 016466, extra = 0000
     RASEN6.8: offset = 8a9f92, length = 016466, extra = 0000
      LOEWS.8: offset = 8adfe4, length = 016465, extra = 0000
    RESEITE.8: offset = 8b2035, length = 004435, extra = 0000
     REDACH.8: offset = 8b3188, length = 035538, extra = 0000
   MONACO.ACT: offset = 8bbc5a, length = 023866, extra = 0001
   MONACO.MOD: offset = 8c1994, length = 225263, extra = 0001
   MONACO.CAM: offset = 8f8983, length = 000170, extra = 0001
   MONACO.OCF: offset = 8f8a2d, length = 000124, extra = 0001
   STRECKE.C8: offset = 8f8aa9, length = 007073, extra = 0001
     S16HI1.8: offset = 8fa64a, length = 128082, extra = 0002
     S16HI2.8: offset = 919a9c, length = 128082, extra = 0002
     S16HI3.8: offset = 938eee, length = 128082, extra = 0002
     S16LO1.8: offset = 958340, length = 032082, extra = 0002
     S16LO2.8: offset = 960092, length = 032082, extra = 0002
     S16LO3.8: offset = 967de4, length = 032082, extra = 0002
     S01HI1.8: offset = 96fb36, length = 128082, extra = 0002
     S01HI2.8: offset = 98ef88, length = 128082, extra = 0002
     S09KS3.8: offset = 9ae3da, length = 008082, extra = 0002
     S10KS1.8: offset = 9b036c, length = 008082, extra = 0002
